latitude;longitude;geometry;CÓDIGO OACI;TIPO;NOME;MUNICÍPIO ATENDIDO;UF
-28,894722;-51,855278;Point;SSGR;AERÓDROMO;GUAPORÉ;GUAPORÉ;RS
-24,220556;-53,043889;Point;SSGW;AERÓDROMO;MANOEL RIBAS;GOIOERÊ;PR
-24,079722;-54,188056;Point;SSGY;AERÓDROMO;GUAÍRA;GUAÍRA;PR
-27,638889;-54,341111;Point;SSHZ;AERÓDROMO;WALTER BÜNDCHEN;HORIZONTINA;RS
-20,599444;-54,602500;Point;SSIE;AERÓDROMO;TERUEL IPANEMA ESTÂNCIA;CAMPO GRANDE;MS
-28,370000;-53,845556;Point;SSIJ;AERÓDROMO;IJUÍ;IJUÍ;RS
-29,173056;-56,536667;Point;SSIQ;AERÓDROMO;ITAQUI;ITAQUI;RS
-28,604167;-53,078889;Point;SSIR;AERÓDROMO;IBIRUBÁ;IBIRUBÁ;RS
-27,172778;-51,551667;Point;SSJA;AERÓDROMO;SANTA TEREZINHA;JOAÇABA;SC
-21,492778;-56,152778;Point;SSJI;AERÓDROMO;JARDIM;JARDIM;MS
-29,153056;-53,743333;Point;SSJK;AERÓDROMO;JÚLIO DE CASTILHOS;JÚLIO DE CASTILHOS;RS
-32,540556;-53,384167;Point;SSJR;AERÓDROMO;JAGUARÃO;JAGUARÃO;RS
-20,505556;-54,524722;Point;SSKG;AERÓDROMO;ESTÂNCIA SANTA MARIA;CAMPO GRANDE;MS
-29,763611;-50,036944;Point;SSKK;AERÓDROMO;CAPÃO DA CANOA;CAPÃO DA CANOA;RS
-24,002500;-52,356944;Point;SSKM;AERÓDROMO;GERALDO GUIAS DE AQUINO;CAMPO MOURÃO;PR
-27,666944;-53,810278;Point;SSKN;AERÓDROMO;CAMPO NOVO;CAMPO NOVO;RS
-30,002222;-52,940278;Point;SSKS;AERÓDROMO;CACHOEIRA DO SUL;CACHOEIRA DO SUL;RS
-27,287222;-50,603889;Point;SSKU;AERÓDROMO;LAURO ANTÔNIO DA COSTA;CURITIBANOS;SC
-11,495556;-61,450833;Point;SSKW;AERÓDROMO;CACOAL;CACOAL;RO
-28,321389;-52,815556;Point;SSKZ;AERÓDROMO;CARAZINHO;CARAZINHO;RS
-28,376667;-48,742778;Point;SSLA;AERÓDROMO;LAGUNA;LAGUNA;SC
-28,376389;-55,037500;Point;SSLG;AERÓDROMO;SÃO LUÍS GONZAGA;SÃO LUIZ GONZAGA;RS
-27,160278;-49,543333;Point;SSLN;AERÓDROMO;HELMUTH BAUNGARTEM;LONTRAS;SC
